date,total_bursts,total_raw_groups,total_samples,bursts_h00,bursts_h01,bursts_h02,bursts_h03,bursts_h04,bursts_h05,bursts_h06,bursts_h07,bursts_h08,bursts_h09,bursts_h10,bursts_h11,bursts_h12,bursts_h13,bursts_h14,bursts_h15,bursts_h16,bursts_h17,bursts_h18,bursts_h19,bursts_h20,bursts_h21,bursts_h22,bursts_h23,raw_h00,raw_h01,raw_h02,raw_h03,raw_h04,raw_h05,raw_h06,raw_h07,raw_h08,raw_h09,raw_h10,raw_h11,raw_h12,raw_h13,raw_h14,raw_h15,raw_h16,raw_h17,raw_h18,raw_h19,raw_h20,raw_h21,raw_h22,raw_h23,samples_h00,samples_h01,samples_h02,samples_h03,samples_h04,samples_h05,samples_h06,samples_h07,samples_h08,samples_h09,samples_h10,samples_h11,samples_h12,samples_h13,samples_h14,samples_h15,samples_h16,samples_h17,samples_h18,samples_h19,samples_h20,samples_h21,samples_h22,samples_h23
1996-07-08,47,166,262726,0,0,0,0,0,0,0,2,20,9,8,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,59,19,31,5,20,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36301,36345,36344,36343,36342,36345,36344,8362,0,0,0,0,0,0,0,0,0
1996-08-13,111,366,467198,0,0,0,0,4,38,1,7,4,3,1,1,0,1,2,5,35,9,0,0,0,0,0,0,0,0,0,0,12,118,8,15,17,15,1,1,3,7,8,28,101,32,0,0,0,0,0,0,0,0,0,0,15739,36345,36344,36342,36343,36345,36343,36342,36345,36344,36342,36342,36345,15337,0,0,0,0,0,0
1996-08-14,163,536,467197,0,0,0,0,1,37,2,3,16,1,1,1,3,18,16,38,23,3,0,0,0,0,0,0,0,0,0,0,2,100,9,10,39,6,1,1,19,76,70,115,71,17,0,0,0,0,0,0,0,0,0,0,15717,36342,36343,36345,36342,36344,36344,36343,36342,36345,36344,36342,36343,15361,0,0,0,0,0,0
1996-08-15,505,989,467198,0,0,0,0,0,24,1,5,8,4,2,1,439,6,2,8,4,1,0,0,0,0,0,0,0,0,0,0,5,78,5,16,22,11,2,2,791,17,4,24,6,6,0,0,0,0,0,0,0,0,0,0,15746,36343,36345,36342,36341,36344,36344,36342,36341,36343,36345,36345,36342,15335,0,0,0,0,0,0
1996-08-16,39,170,467199,0,0,0,0,0,4,3,5,3,4,0,0,3,4,4,2,5,2,0,0,0,0,0,0,0,0,0,0,10,41,13,14,16,12,1,1,8,14,12,5,7,16,0,0,0,0,0,0,0,0,0,0,15746,36345,36343,36342,36344,36345,36342,36342,36345,36344,36341,36343,36345,15332,0,0,0,0,0,0
1996-08-19,480,950,467198,0,0,0,0,1,132,1,1,1,2,1,0,307,3,0,2,23,6,0,0,0,0,0,0,0,0,0,0,3,260,5,17,8,8,1,9,540,15,4,10,58,12,0,0,0,0,0,0,0,0,0,0,15739,36342,36344,36344,36342,36342,36345,36344,36341,36341,36344,36345,36344,15341,0,0,0,0,0,0
1996-08-22,49,135,419428,0,0,0,0,4,13,19,6,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,8,30,37,23,0,0,0,0,0,14,7,14,2,0,0,0,0,0,0,0,0,0,0,0,6644,36344,36345,36341,36342,36344,36344,36343,36345,36344,36342,36344,13006,0,0,0,0,0,0,0
1996-12-18,2,7,211199,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36282,36344,36342,36341,36344,29546,0,0,0,0,0,0,0,0,0,0
1996-12-19,2,10,211199,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36298,36344,36344,36342,36342,29529,0,0,0,0,0,0,0,0,0,0
1996-12-20,3,5,211199,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36275,36344,36344,36342,36343,29551,0,0,0,0,0,0,0,0,0,0
1996-12-21,3,7,211199,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36284,36344,36342,36341,36344,29544,0,0,0,0,0,0,0,0,0,0
1996-12-22,1,6,211199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36300,36344,36344,36342,36342,29527,0,0,0,0,0,0,0,0,0,0
1996-12-23,0,5,211199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36304,36345,36343,36341,36344,29522,0,0,0,0,0,0,0,0,0,0
1996-12-24,1,9,211200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36280,36345,36341,36341,36344,29549,0,0,0,0,0,0,0,0,0,0
1996-12-25,3,7,211199,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36286,36344,36344,36342,36342,29541,0,0,0,0,0,0,0,0,0,0
