date,total_bursts,total_raw_groups,total_samples,bursts_h00,bursts_h01,bursts_h02,bursts_h03,bursts_h04,bursts_h05,bursts_h06,bursts_h07,bursts_h08,bursts_h09,bursts_h10,bursts_h11,bursts_h12,bursts_h13,bursts_h14,bursts_h15,bursts_h16,bursts_h17,bursts_h18,bursts_h19,bursts_h20,bursts_h21,bursts_h22,bursts_h23,raw_h00,raw_h01,raw_h02,raw_h03,raw_h04,raw_h05,raw_h06,raw_h07,raw_h08,raw_h09,raw_h10,raw_h11,raw_h12,raw_h13,raw_h14,raw_h15,raw_h16,raw_h17,raw_h18,raw_h19,raw_h20,raw_h21,raw_h22,raw_h23,samples_h00,samples_h01,samples_h02,samples_h03,samples_h04,samples_h05,samples_h06,samples_h07,samples_h08,samples_h09,samples_h10,samples_h11,samples_h12,samples_h13,samples_h14,samples_h15,samples_h16,samples_h17,samples_h18,samples_h19,samples_h20,samples_h21,samples_h22,samples_h23
2001-05-28,10,10,326141,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30298,36020,36010,36020,36012,36018,36006,36016,36020,7721,0,0,0,0
2001-06-03,12,15,513191,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,35967,36016,36014,36024,36012,36014,36012,36018,36016,36018,36014,36010,36024,36006,9026,0,0,0,0
2001-06-26,4,9,299767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35288,34438,35706,35828,36012,35161,35439,35582,16313,0,0,0,0
2001-06-27,1011,1685,515521,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1005,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,3,1,1,1,1,1,1,1669,0,0,0,0,0,0,0,0,0,35977,36014,36006,36014,36016,36022,36014,36012,34465,35624,36018,36012,35261,35418,14648,0,0,0,0
2001-06-28,1102,1850,512929,0,0,0,0,0,0,0,8,7,0,0,1,1,0,0,2,0,2,3,1078,0,0,0,0,0,0,0,0,0,0,1,11,9,0,1,1,1,1,1,3,1,3,3,1814,0,0,0,0,0,0,0,0,0,35819,36014,35190,35253,35771,35170,35928,34091,35821,35183,35797,36024,36014,36008,14846,0,0,0,0
2001-06-29,6,28,514273,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,9,6,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,34764,36012,36014,35036,36022,36012,36010,35931,35302,35120,35853,35917,35689,35943,14648,0,0,0,0
2001-06-30,60,130,516481,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,2,25,27,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,6,2,1,1,2,3,11,48,45,0,0,0,0,0,0,0,0,0,35977,36010,36012,35651,35941,36012,36014,36016,36001,35915,35911,35913,35841,34784,14483,0,0,0,0
2001-07-02,6,12,298111,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,34351,24317,12066,28807,28268,26732,30872,0,17255,27529,0,26037,15372,14526,11979,0,0,0,0
2001-07-04,1616,2834,518593,0,0,0,0,0,2,1,1,308,1,0,0,0,0,1,2,0,1,1,1298,0,0,0,0,0,0,0,0,0,4,1,1,525,1,0,1,1,1,1,2,1,1,1,2293,0,0,0,0,0,0,0,0,0,35971,36014,36022,36010,36008,36018,36016,36008,36024,36010,36020,36012,36010,36022,14428,0,0,0,0
2001-07-05,327,561,501985,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,321,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,2,1,548,0,0,0,0,0,0,0,0,0,35969,36020,36012,36020,36012,36012,36022,36010,36012,36020,35422,29332,35877,30016,11229,0,0,0,0
