date,total_bursts,total_raw_groups,total_samples,bursts_h00,bursts_h01,bursts_h02,bursts_h03,bursts_h04,bursts_h05,bursts_h06,bursts_h07,bursts_h08,bursts_h09,bursts_h10,bursts_h11,bursts_h12,bursts_h13,bursts_h14,bursts_h15,bursts_h16,bursts_h17,bursts_h18,bursts_h19,bursts_h20,bursts_h21,bursts_h22,bursts_h23,raw_h00,raw_h01,raw_h02,raw_h03,raw_h04,raw_h05,raw_h06,raw_h07,raw_h08,raw_h09,raw_h10,raw_h11,raw_h12,raw_h13,raw_h14,raw_h15,raw_h16,raw_h17,raw_h18,raw_h19,raw_h20,raw_h21,raw_h22,raw_h23,samples_h00,samples_h01,samples_h02,samples_h03,samples_h04,samples_h05,samples_h06,samples_h07,samples_h08,samples_h09,samples_h10,samples_h11,samples_h12,samples_h13,samples_h14,samples_h15,samples_h16,samples_h17,samples_h18,samples_h19,samples_h20,samples_h21,samples_h22,samples_h23
2007-03-22,5,13,444506,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,36007,36003,35979,36000,35997,35999,35993,35996,35989,35991,35995,35993,12564,0,0,0,0,0,0
2007-03-23,11,12,444506,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,36006,35999,36001,35993,36001,35994,35992,35995,35970,36003,36002,35996,12554,0,0,0,0,0,0
2007-03-24,5,12,444506,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,36007,35992,36001,35994,36000,35993,35997,35997,35991,35995,35987,36003,12549,0,0,0,0,0,0
2007-03-25,5,12,444506,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,36006,35991,35999,36001,36002,35990,35998,35996,35991,36002,35990,35996,12544,0,0,0,0,0,0
2007-03-26,2,9,449185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36002,35994,35996,36002,35995,35999,35995,35997,35992,36002,35998,35997,17216,0,0,0,0,0,0
2007-03-27,3,10,449185,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36001,36001,35999,35994,35994,36001,35992,35999,36002,35987,36003,35993,17219,0,0,0,0,0,0
2007-03-28,5170,11929,449185,0,0,0,0,0,0,0,0,1,0,0,4868,0,1,1,0,298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11389,1,1,1,1,531,1,0,0,0,0,0,0,0,0,0,0,0,35996,35996,35999,36000,35990,36000,35992,35995,35986,36001,36001,35989,17240,0,0,0,0,0,0
2007-03-29,451,811,451795,0,0,0,0,0,181,1,1,1,0,1,1,1,1,1,0,261,1,0,0,0,0,0,0,0,0,0,0,0,331,1,1,1,1,1,1,1,1,1,1,469,1,0,0,0,0,0,0,0,0,0,0,0,36004,36001,35992,35967,35986,35997,35992,35986,35989,35990,35997,35993,19901,0,0,0,0,0,0
2007-03-30,503,929,451888,0,0,0,0,0,250,1,1,1,1,1,0,1,0,1,1,245,0,0,0,0,0,0,0,0,0,0,0,0,448,1,1,1,1,1,1,1,1,1,1,470,1,0,0,0,0,0,0,0,0,0,0,0,36006,36000,35995,35994,35999,35987,35989,35991,36001,35999,35998,35991,19938,0,0,0,0,0,0
2007-03-31,452,880,451888,0,0,0,0,0,242,1,1,1,0,1,1,0,1,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,459,1,1,1,1,1,1,1,1,1,1,410,1,0,0,0,0,0,0,0,0,0,0,0,36000,35992,35993,36000,35993,36001,35995,35991,35992,35993,35991,36000,19947,0,0,0,0,0,0
2007-04-01,384,772,451795,0,0,0,0,0,204,1,1,1,0,1,1,1,0,1,0,172,1,0,0,0,0,0,0,0,0,0,0,0,411,1,1,1,1,1,1,1,1,1,1,350,1,0,0,0,0,0,0,0,0,0,0,0,36006,36000,35983,35993,36001,35990,35984,35996,35993,35989,35967,35990,19903,0,0,0,0,0,0
2007-04-02,274,665,456653,0,0,0,0,0,143,1,1,1,1,0,1,0,0,1,1,123,1,0,0,0,0,0,0,0,0,0,0,0,315,1,2,1,1,1,1,1,1,1,1,338,1,0,0,0,0,0,0,0,0,0,0,0,36005,36001,36000,35997,35988,35996,36001,35998,35983,35986,35987,35984,24727,0,0,0,0,0,0
